video_id	title	playlist	date_published	speakers
8nq_J0zjeeU	Pensieri del Segretario - Venerdi 17 aprile, 2026	Presidente e Segretario		Michele Boldrin
zkKWE_TaMb8	Il disegno di legge sull'antisemitismo	Presidente e Segretario		Michele Boldrin
o0T12MTpjq0	ORA! e il Centro	Presidente e Segretario		Michele Boldrin
hRu-fAxjXac	ORA! e la Sinistra	Presidente e Segretario		Michele Boldrin
1W923OiTvLg	ORA! e la Destra	Presidente e Segretario		Michele Boldrin
gOOs1IARIQg	Dove sei stato cosa hai fatto mai? AF&MB	Presidente e Segretario		Michele Boldrin, Alberto Forchielli
ibrsgj26SSE	Il Centro Destra: pensieri del Segretario - 20 Aprile 2026	Dove ci collochiamo?	2026-04-20	Michele Boldrin
ZjZ8zl8k9JA	Il Campolargo: pensieri del Segretario - 18 Aprile 2026	Dove ci collochiamo?	2026-04-18	Michele Boldrin
SSR9csT7h_s	Dove ci collochiamo?	Dove ci collochiamo?	2026-04-15	Michele Boldrin
